,HT,AT,R,MV_HT,MV_AT,POS_HT,POS_AT
1851,FC Schalke 04,SV Werder Bremen,away,123.05,111.98,18,16
1852,TSG 1899 Hoffenheim,FC Bayern München,home,228.15,858.23,7,1
1853,SC Freiburg,VfL Wolfsburg,draw,139.10,256.83,6,10
1854,1.FC Union Berlin,1.FSV Mainz 05,home,82.05,163.30,14,17
1855,Borussia Dortmund,SC Freiburg,home,628.40,139.10,10,5
1856,Eintracht Frankfurt,TSG 1899 Hoffenheim,home,269.15,228.15,4,1
1857,1.FC Köln,Borussia Mönchengladbach,away,118.20,300.75,16,15
1858,SV Werder Bremen,Arminia Bielefeld,home,111.98,56.73,11,6
1859,VfB Stuttgart,Bayer 04 Leverkusen,draw,189.25,373.25,8,13
1860,RasenBallsport Leipzig,FC Schalke 04,home,574.95,123.05,3,18
1861,VfL Wolfsburg,FC Augsburg,draw,256.83,93.05,12,2
1862,FC Bayern München,Hertha BSC,home,858.23,228.88,7,9
1863,TSG 1899 Hoffenheim,Borussia Dortmund,away,228.15,628.40,6,5
1864,SC Freiburg,SV Werder Bremen,draw,139.10,111.98,12,7
1865,Hertha BSC,VfB Stuttgart,away,228.88,189.25,13,8
1866,1.FSV Mainz 05,Bayer 04 Leverkusen,away,163.30,373.25,17,14
1867,FC Augsburg,RasenBallsport Leipzig,away,93.05,574.95,2,1
1868,Arminia Bielefeld,FC Bayern München,away,56.73,858.23,10,4
1869,Borussia Mönchengladbach,VfL Wolfsburg,draw,300.75,256.83,11,15
1870,1.FC Köln,Eintracht Frankfurt,draw,118.20,269.15,16,3
1871,FC Schalke 04,1.FC Union Berlin,draw,123.05,82.05,18,9
1872,VfB Stuttgart,1.FC Köln,draw,189.25,118.20,5,16
1873,FC Bayern München,Eintracht Frankfurt,home,858.23,269.15,2,4
1874,RasenBallsport Leipzig,Hertha BSC,home,574.95,228.88,1,15
1875,1.FC Union Berlin,SC Freiburg,draw,82.05,139.10,10,12
1876,1.FSV Mainz 05,Borussia Mönchengladbach,away,163.30,300.75,18,11
1877,Borussia Dortmund,FC Schalke 04,home,628.40,123.05,3,17
1878,VfL Wolfsburg,Arminia Bielefeld,home,256.83,56.73,13,14
1879,SV Werder Bremen,TSG 1899 Hoffenheim,draw,111.98,228.15,7,8
1880,Bayer 04 Leverkusen,FC Augsburg,home,373.25,93.05,9,6
1881,FC Schalke 04,VfB Stuttgart,draw,123.05,189.25,17,5
1882,Eintracht Frankfurt,SV Werder Bremen,draw,269.15,111.98,8,7
1883,1.FC Köln,FC Bayern München,away,118.20,858.23,16,2
1884,FC Augsburg,1.FSV Mainz 05,home,93.05,163.30,11,18
1885,Arminia Bielefeld,Borussia Dortmund,away,56.73,628.40,14,3
1886,Borussia Mönchengladbach,RasenBallsport Leipzig,home,300.75,574.95,6,1
1887,SC Freiburg,Bayer 04 Leverkusen,away,139.10,373.25,13,4
1888,Hertha BSC,VfL Wolfsburg,draw,228.88,256.83,15,10
1889,TSG 1899 Hoffenheim,1.FC Union Berlin,away,228.15,82.05,9,12
