,HT,AT,R,MV_HT,MV_AT,POS_HT,POS_AT
801,VfL Wolfsburg,SV Werder Bremen,away,203.08,89.45,14,16
802,FC Bayern München,Hamburger SV,home,562.55,80.48,1,15
803,Bayer 04 Leverkusen,1.FSV Mainz 05,away,265.03,96.73,8,12
804,SV Darmstadt 98,FC Augsburg,away,25.98,65.85,18,13
805,SC Freiburg,Borussia Dortmund,away,86.73,390.65,9,3
806,RasenBallsport Leipzig,1.FC Köln,home,176.33,116.15,2,7
807,Hertha BSC,Eintracht Frankfurt,home,96.53,72.25,6,5
808,FC Ingolstadt 04,Borussia Mönchengladbach,away,38.63,162.18,17,11
809,FC Schalke 04,TSG 1899 Hoffenheim,draw,217.25,138.63,10,4
810,FC Augsburg,RasenBallsport Leipzig,draw,65.85,176.33,13,2
811,Borussia Dortmund,Bayer 04 Leverkusen,home,390.65,265.03,3,8
812,1.FSV Mainz 05,VfL Wolfsburg,draw,96.73,203.08,11,14
813,1.FC Köln,FC Bayern München,away,116.15,562.55,7,1
814,SV Werder Bremen,SV Darmstadt 98,home,89.45,25.98,15,18
815,TSG 1899 Hoffenheim,FC Ingolstadt 04,home,138.63,38.63,4,17
816,Borussia Mönchengladbach,FC Schalke 04,home,162.18,217.25,10,12
817,Eintracht Frankfurt,SC Freiburg,away,72.25,86.73,6,9
818,Hamburger SV,Hertha BSC,home,80.48,96.53,16,5
819,Bayer 04 Leverkusen,SV Werder Bremen,draw,265.03,89.45,10,14
820,FC Bayern München,Eintracht Frankfurt,home,562.55,72.25,1,6
821,Hertha BSC,Borussia Dortmund,home,96.53,390.65,5,3
822,SV Darmstadt 98,1.FSV Mainz 05,home,25.98,96.73,18,11
823,SC Freiburg,TSG 1899 Hoffenheim,draw,86.73,138.63,8,4
824,RasenBallsport Leipzig,VfL Wolfsburg,away,176.33,203.08,2,15
825,FC Ingolstadt 04,1.FC Köln,draw,38.63,116.15,17,7
826,FC Schalke 04,FC Augsburg,home,217.25,65.85,13,12
827,Hamburger SV,Borussia Mönchengladbach,home,80.48,162.18,16,9
828,Borussia Dortmund,FC Ingolstadt 04,home,390.65,38.63,3,17
829,VfL Wolfsburg,SV Darmstadt 98,home,203.08,25.98,14,18
830,1.FC Köln,Hertha BSC,home,116.15,96.53,7,5
831,FC Augsburg,SC Freiburg,draw,65.85,86.73,13,8
832,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,home,138.63,265.03,4,10
833,SV Werder Bremen,RasenBallsport Leipzig,home,89.45,176.33,15,2
834,Eintracht Frankfurt,Hamburger SV,draw,72.25,80.48,6,16
835,1.FSV Mainz 05,FC Schalke 04,away,96.73,217.25,12,11
836,Borussia Mönchengladbach,FC Bayern München,away,162.18,562.55,9,1
837,Hertha BSC,TSG 1899 Hoffenheim,away,96.53,138.63,5,4
838,FC Bayern München,FC Augsburg,home,562.55,65.85,1,14
839,FC Schalke 04,Borussia Dortmund,draw,217.25,390.65,9,3
840,Hamburger SV,1.FC Köln,home,80.48,116.15,16,6
841,SC Freiburg,SV Werder Bremen,away,86.73,89.45,8,13
842,RasenBallsport Leipzig,SV Darmstadt 98,home,176.33,25.98,2,18
843,Eintracht Frankfurt,Borussia Mönchengladbach,draw,72.25,162.18,7,10
844,FC Ingolstadt 04,1.FSV Mainz 05,home,38.63,96.73,17,12
845,Bayer 04 Leverkusen,VfL Wolfsburg,draw,265.03,203.08,11,15
846,Borussia Dortmund,Hamburger SV,home,390.65,80.48,4,14
847,1.FC Köln,Eintracht Frankfurt,home,116.15,72.25,6,7
848,TSG 1899 Hoffenheim,FC Bayern München,home,138.63,562.55,3,1
849,SV Werder Bremen,FC Schalke 04,home,89.45,217.25,12,9
850,Borussia Mönchengladbach,Hertha BSC,home,162.18,96.53,10,5
851,1.FSV Mainz 05,RasenBallsport Leipzig,away,96.73,176.33,15,2
852,VfL Wolfsburg,SC Freiburg,away,203.08,86.73,13,8
853,FC Augsburg,FC Ingolstadt 04,away,65.85,38.63,16,17
854,SV Darmstadt 98,Bayer 04 Leverkusen,away,25.98,265.03,18,11
855,Eintracht Frankfurt,SV Werder Bremen,draw,72.25,89.45,8,11
856,FC Schalke 04,VfL Wolfsburg,home,217.25,203.08,12,13
857,1.FC Köln,Borussia Mönchengladbach,away,116.15,162.18,5,9
858,Hamburger SV,TSG 1899 Hoffenheim,home,80.48,138.63,14,3
859,SC Freiburg,1.FSV Mainz 05,home,86.73,96.73,7,15
860,RasenBallsport Leipzig,Bayer 04 Leverkusen,home,176.33,265.03,2,10
861,FC Bayern München,Borussia Dortmund,home,562.55,390.65,1,4
862,Hertha BSC,FC Augsburg,home,96.53,65.85,6,16
863,FC Ingolstadt 04,SV Darmstadt 98,home,38.63,25.98,17,18
864,Borussia Dortmund,Eintracht Frankfurt,home,390.65,72.25,4,9
865,1.FSV Mainz 05,Hertha BSC,home,96.73,96.53,15,5
866,VfL Wolfsburg,FC Ingolstadt 04,home,203.08,38.63,14,17
867,FC Augsburg,1.FC Köln,home,65.85,116.15,16,7
868,TSG 1899 Hoffenheim,Borussia Mönchengladbach,home,138.63,162.18,3,8
869,RasenBallsport Leipzig,SC Freiburg,home,176.33,86.73,2,6
870,Bayer 04 Leverkusen,FC Bayern München,draw,265.03,562.55,12,1
871,SV Werder Bremen,Hamburger SV,home,89.45,80.48,11,13
872,SV Darmstadt 98,FC Schalke 04,home,25.98,217.25,18,10
873,1.FC Köln,TSG 1899 Hoffenheim,draw,116.15,138.63,7,3
874,FC Bayern München,1.FSV Mainz 05,draw,562.55,96.73,1,15
875,Hertha BSC,VfL Wolfsburg,home,96.53,203.08,5,13
876,Hamburger SV,SV Darmstadt 98,away,80.48,25.98,14,18
877,FC Ingolstadt 04,SV Werder Bremen,away,38.63,89.45,17,8
878,Eintracht Frankfurt,FC Augsburg,home,72.25,65.85,10,16
879,Borussia Mönchengladbach,Borussia Dortmund,away,162.18,390.65,9,4
880,SC Freiburg,Bayer 04 Leverkusen,home,86.73,265.03,6,12
881,FC Schalke 04,RasenBallsport Leipzig,draw,217.25,176.33,11,2
882,Bayer 04 Leverkusen,FC Schalke 04,away,265.03,217.25,12,11
883,Borussia Dortmund,1.FC Köln,draw,390.65,116.15,3,8
884,1.FSV Mainz 05,Borussia Mönchengladbach,away,96.73,162.18,13,10
885,SV Werder Bremen,Hertha BSC,home,89.45,96.53,7,5
886,SV Darmstadt 98,SC Freiburg,home,25.98,86.73,18,6
887,RasenBallsport Leipzig,FC Ingolstadt 04,draw,176.33,38.63,2,17
888,VfL Wolfsburg,FC Bayern München,away,203.08,562.55,14,1
889,FC Augsburg,Hamburger SV,home,65.85,80.48,16,15
890,TSG 1899 Hoffenheim,Eintracht Frankfurt,home,138.63,72.25,4,9
891,1.FC Köln,SV Werder Bremen,home,116.15,89.45,8,6
892,FC Bayern München,SV Darmstadt 98,home,562.55,25.98,1,18
893,Borussia Dortmund,TSG 1899 Hoffenheim,home,390.65,138.63,4,3
894,Borussia Mönchengladbach,FC Augsburg,draw,162.18,65.85,9,13
895,FC Ingolstadt 04,Bayer 04 Leverkusen,draw,38.63,265.03,17,12
896,Eintracht Frankfurt,VfL Wolfsburg,away,72.25,203.08,11,15
897,Hertha BSC,RasenBallsport Leipzig,away,96.53,176.33,5,2
898,Hamburger SV,1.FSV Mainz 05,draw,80.48,96.73,16,14
899,SC Freiburg,FC Schalke 04,home,86.73,217.25,7,10
900,Bayer 04 Leverkusen,1.FC Köln,draw,265.03,116.15,12,7
901,FC Schalke 04,Hamburger SV,draw,217.25,80.48,10,16
902,1.FSV Mainz 05,Eintracht Frankfurt,home,96.73,72.25,15,11
903,VfL Wolfsburg,Borussia Mönchengladbach,draw,203.08,162.18,14,9
904,FC Augsburg,Borussia Dortmund,draw,65.85,390.65,13,3
905,SV Werder Bremen,TSG 1899 Hoffenheim,away,89.45,138.63,8,4
906,SV Darmstadt 98,Hertha BSC,away,25.98,96.53,18,6
907,SC Freiburg,FC Ingolstadt 04,draw,86.73,38.63,5,17
908,RasenBallsport Leipzig,FC Bayern München,away,176.33,562.55,2,1
909,FC Bayern München,SC Freiburg,home,562.55,86.73,1,6
910,Borussia Dortmund,SV Werder Bremen,home,390.65,89.45,3,8
911,Borussia Mönchengladbach,SV Darmstadt 98,draw,162.18,25.98,9,18
912,Hertha BSC,Bayer 04 Leverkusen,away,96.53,265.03,5,12
913,1.FC Köln,1.FSV Mainz 05,home,116.15,96.73,7,13
914,Hamburger SV,VfL Wolfsburg,home,80.48,203.08,16,15
915,FC Ingolstadt 04,FC Schalke 04,draw,38.63,217.25,17,10
916,TSG 1899 Hoffenheim,FC Augsburg,draw,138.63,65.85,4,14
917,Eintracht Frankfurt,RasenBallsport Leipzig,draw,72.25,176.33,11,2
918,FC Bayern München,Bayer 04 Leverkusen,home,811.85,357.35,9,9
919,TSG 1899 Hoffenheim,SV Werder Bremen,home,212.75,107.15,9,9
920,Hamburger SV,FC Augsburg,home,62.40,100.45,9,9
921,VfL Wolfsburg,Borussia Dortmund,away,143.60,574.20,9,9
922,Hertha BSC,VfB Stuttgart,home,131.45,134.70,9,9
923,1.FSV Mainz 05,Hannover 96,away,98.35,92.95,9,9
924,FC Schalke 04,RasenBallsport Leipzig,home,274.35,373.30,9,9
925,SC Freiburg,Eintracht Frankfurt,draw,100.60,126.15,9,9
926,Borussia Mönchengladbach,1.FC Köln,home,193.25,91.73,9,9
927,1.FC Köln,Hamburger SV,away,91.73,62.40,13,8
928,SV Werder Bremen,FC Bayern München,away,107.15,811.85,11,2
929,Eintracht Frankfurt,VfL Wolfsburg,away,126.15,143.60,9,18
930,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,draw,357.35,212.75,15,7
931,FC Augsburg,Borussia Mönchengladbach,draw,100.45,193.25,12,6
932,VfB Stuttgart,1.FSV Mainz 05,home,134.70,98.35,16,14
933,Borussia Dortmund,Hertha BSC,home,574.20,131.45,1,4
934,RasenBallsport Leipzig,SC Freiburg,home,373.30,100.60,17,10
935,Hannover 96,FC Schalke 04,home,92.95,274.35,5,3
936,Hamburger SV,RasenBallsport Leipzig,away,62.40,373.30,3,7
937,SC Freiburg,Borussia Dortmund,draw,100.60,574.20,15,1
938,Borussia Mönchengladbach,Eintracht Frankfurt,away,193.25,126.15,5,13
939,FC Augsburg,1.FC Köln,home,100.45,91.73,12,17
940,1.FSV Mainz 05,Bayer 04 Leverkusen,home,98.35,357.35,16,14
941,VfL Wolfsburg,Hannover 96,draw,143.60,92.95,11,4
942,TSG 1899 Hoffenheim,FC Bayern München,home,212.75,811.85,6,2
943,Hertha BSC,SV Werder Bremen,draw,131.45,107.15,9,18
944,FC Schalke 04,VfB Stuttgart,home,274.35,134.70,8,10
945,Hannover 96,Hamburger SV,home,92.95,62.40,3,7
946,Eintracht Frankfurt,FC Augsburg,away,126.15,100.45,11,8
947,VfB Stuttgart,VfL Wolfsburg,home,134.70,143.60,14,12
948,FC Bayern München,1.FSV Mainz 05,home,811.85,98.35,6,13
949,SV Werder Bremen,FC Schalke 04,away,107.15,274.35,16,5
950,RasenBallsport Leipzig,Borussia Mönchengladbach,draw,373.30,193.25,4,10
951,TSG 1899 Hoffenheim,Hertha BSC,draw,212.75,131.45,2,9
952,Bayer 04 Leverkusen,SC Freiburg,home,357.35,100.60,17,15
953,Borussia Dortmund,1.FC Köln,home,574.20,91.73,1,18
954,Borussia Mönchengladbach,VfB Stuttgart,home,193.25,134.70,10,9
955,FC Schalke 04,FC Bayern München,away,274.35,811.85,4,3
956,FC Augsburg,RasenBallsport Leipzig,home,100.45,373.30,7,6
957,VfL Wolfsburg,SV Werder Bremen,draw,143.60,107.15,14,17
958,1.FC Köln,Eintracht Frankfurt,away,91.73,126.15,18,13
959,SC Freiburg,Hannover 96,draw,100.60,92.95,16,2
960,Hamburger SV,Borussia Dortmund,away,62.40,574.20,8,1
961,Hertha BSC,Bayer 04 Leverkusen,home,131.45,357.35,11,12
962,1.FSV Mainz 05,TSG 1899 Hoffenheim,away,98.35,212.75,15,5
963,FC Bayern München,VfL Wolfsburg,draw,811.85,143.60,2,13
964,RasenBallsport Leipzig,Eintracht Frankfurt,home,373.30,126.15,9,10
965,TSG 1899 Hoffenheim,FC Schalke 04,home,212.75,274.35,3,6
966,SV Werder Bremen,SC Freiburg,draw,107.15,100.60,17,16
967,1.FSV Mainz 05,Hertha BSC,home,98.35,131.45,15,8
968,VfB Stuttgart,FC Augsburg,draw,134.70,100.45,12,5
969,Borussia Dortmund,Borussia Mönchengladbach,home,574.20,193.25,1,7
970,Hannover 96,1.FC Köln,draw,92.95,91.73,4,18
971,Bayer 04 Leverkusen,Hamburger SV,home,357.35,62.40,14,11
972,FC Schalke 04,Bayer 04 Leverkusen,draw,274.35,357.35,7,10
973,Eintracht Frankfurt,VfB Stuttgart,home,126.15,134.70,11,12
974,FC Augsburg,Borussia Dortmund,away,100.45,574.20,5,1
975,VfL Wolfsburg,1.FSV Mainz 05,draw,143.60,98.35,13,14
976,Borussia Mönchengladbach,Hannover 96,home,193.25,92.95,9,4
977,Hamburger SV,SV Werder Bremen,draw,62.40,107.15,15,17
978,SC Freiburg,TSG 1899 Hoffenheim,home,100.60,212.75,16,2
979,Hertha BSC,FC Bayern München,draw,131.45,811.85,8,3
980,1.FC Köln,RasenBallsport Leipzig,away,91.73,373.30,18,6
981,VfB Stuttgart,1.FC Köln,home,134.70,91.73,14,18
982,FC Bayern München,SC Freiburg,home,811.85,100.60,2,15
983,TSG 1899 Hoffenheim,FC Augsburg,draw,212.75,100.45,3,6
984,Hertha BSC,FC Schalke 04,away,131.45,274.35,10,9
985,1.FSV Mainz 05,Hamburger SV,home,98.35,62.40,13,16
986,Hannover 96,Eintracht Frankfurt,away,92.95,126.15,5,8
987,Borussia Dortmund,RasenBallsport Leipzig,away,574.20,373.30,1,4
988,Bayer 04 Leverkusen,VfL Wolfsburg,draw,357.35,143.60,11,12
989,SV Werder Bremen,Borussia Mönchengladbach,away,107.15,193.25,17,7
990,FC Schalke 04,1.FSV Mainz 05,home,274.35,98.35,6,10
991,RasenBallsport Leipzig,VfB Stuttgart,home,373.30,134.70,3,11
992,Borussia Mönchengladbach,Bayer 04 Leverkusen,away,193.25,357.35,5,12
993,FC Augsburg,Hannover 96,away,100.45,92.95,8,9
994,Eintracht Frankfurt,Borussia Dortmund,draw,126.15,574.20,7,1
995,Hamburger SV,FC Bayern München,away,62.40,811.85,15,2
996,1.FC Köln,SV Werder Bremen,draw,91.73,107.15,18,17
997,SC Freiburg,Hertha BSC,draw,100.60,131.45,16,13
998,VfL Wolfsburg,TSG 1899 Hoffenheim,draw,143.60,212.75,14,4
999,1.FSV Mainz 05,Eintracht Frankfurt,draw,98.35,126.15,12,7
1000,TSG 1899 Hoffenheim,Borussia Mönchengladbach,away,212.75,193.25,4,8
1001,Hertha BSC,Hamburger SV,home,131.45,62.40,11,16
1002,FC Schalke 04,VfL Wolfsburg,draw,274.35,143.60,5,14
1003,Bayer 04 Leverkusen,1.FC Köln,home,357.35,91.73,9,18
1004,Hannover 96,Borussia Dortmund,home,92.95,574.20,6,1
1005,FC Bayern München,RasenBallsport Leipzig,home,811.85,373.30,2,3
1006,SV Werder Bremen,FC Augsburg,away,107.15,100.45,17,10
1007,VfB Stuttgart,SC Freiburg,home,134.70,100.60,13,15
1008,Eintracht Frankfurt,SV Werder Bremen,home,126.15,107.15,10,17
1009,RasenBallsport Leipzig,Hannover 96,home,373.30,92.95,3,4
1010,SC Freiburg,FC Schalke 04,away,100.60,274.35,15,5
1011,FC Augsburg,Bayer 04 Leverkusen,draw,100.45,357.35,9,8
1012,Hamburger SV,VfB Stuttgart,home,62.40,134.70,16,12
1013,Borussia Mönchengladbach,1.FSV Mainz 05,draw,193.25,98.35,6,13
1014,Borussia Dortmund,FC Bayern München,away,574.20,811.85,2,1
1015,1.FC Köln,TSG 1899 Hoffenheim,away,91.73,212.75,18,7
1016,VfL Wolfsburg,Hertha BSC,draw,143.60,131.45,14,11
1017,VfB Stuttgart,Borussia Dortmund,home,134.70,574.20,12,3
1018,FC Bayern München,FC Augsburg,home,811.85,100.45,1,10
1019,TSG 1899 Hoffenheim,Eintracht Frankfurt,draw,212.75,126.15,5,7
1020,Bayer 04 Leverkusen,RasenBallsport Leipzig,draw,357.35,373.30,9,2
1021,1.FSV Mainz 05,1.FC Köln,home,98.35,91.73,13,18
1022,VfL Wolfsburg,SC Freiburg,home,143.60,100.60,14,16
1023,Hertha BSC,Borussia Mönchengladbach,away,131.45,193.25,11,8
1024,FC Schalke 04,Hamburger SV,home,274.35,62.40,4,15
1025,SV Werder Bremen,Hannover 96,home,107.15,92.95,17,6
1026,Hannover 96,VfB Stuttgart,draw,92.95,134.70,8,11
1027,Borussia Dortmund,FC Schalke 04,draw,574.20,274.35,5,2
1028,RasenBallsport Leipzig,SV Werder Bremen,home,373.30,107.15,3,16
1029,SC Freiburg,1.FSV Mainz 05,home,100.60,98.35,17,12
1030,Eintracht Frankfurt,Bayer 04 Leverkusen,away,126.15,357.35,7,9
1031,FC Augsburg,VfL Wolfsburg,home,100.45,143.60,10,13
1032,Borussia Mönchengladbach,FC Bayern München,home,193.25,811.85,4,1
1033,Hamburger SV,TSG 1899 Hoffenheim,home,62.40,212.75,15,6
1034,1.FC Köln,Hertha BSC,away,91.73,131.45,18,14
1035,SC Freiburg,Hamburger SV,draw,100.60,62.40,16,15
1036,FC Bayern München,Hannover 96,home,811.85,92.95,1,10
1037,TSG 1899 Hoffenheim,RasenBallsport Leipzig,home,212.75,373.30,7,2
1038,Bayer 04 Leverkusen,Borussia Dortmund,draw,357.35,574.20,6,5
1039,1.FSV Mainz 05,FC Augsburg,away,98.35,100.45,13,8
1040,SV Werder Bremen,VfB Stuttgart,home,107.15,134.70,17,12
1041,FC Schalke 04,1.FC Köln,draw,274.35,91.73,3,18
1042,Hertha BSC,Eintracht Frankfurt,away,131.45,126.15,11,9
1043,VfL Wolfsburg,Borussia Mönchengladbach,home,143.60,193.25,14,4
1044,VfB Stuttgart,Bayer 04 Leverkusen,away,134.70,357.35,13,9
1045,Borussia Dortmund,SV Werder Bremen,away,574.20,107.15,6,17
1046,RasenBallsport Leipzig,1.FSV Mainz 05,draw,373.30,98.35,2,14
1047,Eintracht Frankfurt,FC Bayern München,away,126.15,811.85,8,1
1048,Hamburger SV,VfL Wolfsburg,draw,62.40,143.60,15,11
1049,Borussia Mönchengladbach,FC Schalke 04,draw,193.25,274.35,4,3
1050,1.FC Köln,SC Freiburg,away,91.73,100.60,18,16
1051,Hannover 96,TSG 1899 Hoffenheim,home,92.95,212.75,10,5
1052,FC Augsburg,Hertha BSC,draw,100.45,131.45,7,12
1053,VfL Wolfsburg,RasenBallsport Leipzig,draw,143.60,373.30,11,2
1054,Hamburger SV,Eintracht Frankfurt,away,62.40,126.15,15,9
1055,1.FSV Mainz 05,Borussia Dortmund,away,98.35,574.20,14,8
1056,SC Freiburg,Borussia Mönchengladbach,home,100.60,193.25,16,4
1057,TSG 1899 Hoffenheim,VfB Stuttgart,home,212.75,134.70,6,13
1058,FC Bayern München,1.FC Köln,home,811.85,91.73,1,18
1059,Hertha BSC,Hannover 96,home,131.45,92.95,12,10
1060,FC Schalke 04,FC Augsburg,home,274.35,100.45,3,7
1061,Bayer 04 Leverkusen,SV Werder Bremen,home,357.35,107.15,5,17
1062,Borussia Mönchengladbach,Hamburger SV,home,193.25,62.40,8,16
1063,1.FC Köln,VfL Wolfsburg,home,91.73,143.60,18,12
1064,SV Werder Bremen,1.FSV Mainz 05,draw,107.15,98.35,17,15
1065,Eintracht Frankfurt,FC Schalke 04,draw,126.15,274.35,7,2
1066,FC Augsburg,SC Freiburg,draw,100.45,100.60,9,13
1067,VfB Stuttgart,FC Bayern München,away,134.70,811.85,14,1
1068,Borussia Dortmund,TSG 1899 Hoffenheim,home,574.20,212.75,6,5
1069,Hannover 96,Bayer 04 Leverkusen,draw,92.95,357.35,10,4
1070,RasenBallsport Leipzig,Hertha BSC,away,373.30,131.45,3,11
1071,Bayer 04 Leverkusen,FC Bayern München,away,357.35,811.85,4,1
1072,SV Werder Bremen,TSG 1899 Hoffenheim,draw,107.15,212.75,16,7
1073,Eintracht Frankfurt,SC Freiburg,draw,126.15,100.60,8,13
1074,FC Augsburg,Hamburger SV,home,100.45,62.40,9,17
1075,Hannover 96,1.FSV Mainz 05,home,92.95,98.35,11,15
1076,VfB Stuttgart,Hertha BSC,home,134.70,131.45,14,10
1077,RasenBallsport Leipzig,FC Schalke 04,home,373.30,274.35,5,2
1078,1.FC Köln,Borussia Mönchengladbach,home,91.73,193.25,18,6
1079,Borussia Dortmund,VfL Wolfsburg,draw,574.20,143.60,3,12
1080,Hertha BSC,Borussia Dortmund,draw,131.45,574.20,11,4
1081,1.FSV Mainz 05,VfB Stuttgart,home,98.35,134.70,15,13
1082,SC Freiburg,RasenBallsport Leipzig,home,100.60,373.30,14,2
1083,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,away,212.75,357.35,7,5
1084,Borussia Mönchengladbach,FC Augsburg,home,193.25,100.45,6,8
1085,VfL Wolfsburg,Eintracht Frankfurt,away,143.60,126.15,12,9
1086,Hamburger SV,1.FC Köln,away,62.40,91.73,17,18
1087,FC Bayern München,SV Werder Bremen,home,811.85,107.15,1,16
1088,FC Schalke 04,Hannover 96,draw,274.35,92.95,3,10
1089,Eintracht Frankfurt,Borussia Mönchengladbach,home,126.15,193.25,7,5
1090,FC Bayern München,TSG 1899 Hoffenheim,home,811.85,212.75,1,9
1091,Borussia Dortmund,SC Freiburg,draw,574.20,100.60,6,12
1092,RasenBallsport Leipzig,Hamburger SV,draw,373.30,62.40,4,17
1093,VfB Stuttgart,FC Schalke 04,away,134.70,274.35,14,3
1094,1.FC Köln,FC Augsburg,draw,91.73,100.45,18,8
1095,SV Werder Bremen,Hertha BSC,draw,107.15,131.45,16,11
1096,Bayer 04 Leverkusen,1.FSV Mainz 05,home,357.35,98.35,2,15
1097,Hannover 96,VfL Wolfsburg,away,92.95,143.60,10,13
1098,1.FC Köln,Borussia Dortmund,away,91.73,574.20,18,6
1099,Hertha BSC,TSG 1899 Hoffenheim,draw,131.45,212.75,11,9
1100,SC Freiburg,Bayer 04 Leverkusen,draw,100.60,357.35,12,2
1101,FC Schalke 04,SV Werder Bremen,away,274.35,107.15,3,16
1102,1.FSV Mainz 05,FC Bayern München,away,98.35,811.85,15,1
1103,VfL Wolfsburg,VfB Stuttgart,draw,143.60,134.70,13,14
1104,Borussia Mönchengladbach,RasenBallsport Leipzig,away,193.25,373.30,7,5
1105,FC Augsburg,Eintracht Frankfurt,home,100.45,126.15,8,4
1106,Hamburger SV,Hannover 96,draw,62.40,92.95,17,10
1107,RasenBallsport Leipzig,FC Augsburg,home,373.30,100.45,3,7
1108,Borussia Dortmund,Hamburger SV,home,574.20,62.40,4,17
1109,TSG 1899 Hoffenheim,1.FSV Mainz 05,home,212.75,98.35,9,16
1110,Eintracht Frankfurt,1.FC Köln,home,126.15,91.73,6,18
1111,Bayer 04 Leverkusen,Hertha BSC,away,357.35,131.45,2,11
1112,Hannover 96,SC Freiburg,home,92.95,100.60,10,12
1113,FC Bayern München,FC Schalke 04,home,811.85,274.35,1,5
1114,VfB Stuttgart,Borussia Mönchengladbach,home,134.70,193.25,14,8
1115,SV Werder Bremen,VfL Wolfsburg,home,107.15,143.60,15,13
1116,Hertha BSC,1.FSV Mainz 05,away,131.45,98.35,11,16
1117,1.FC Köln,Hannover 96,draw,91.73,92.95,18,9
1118,SC Freiburg,SV Werder Bremen,home,100.60,107.15,12,15
1119,Hamburger SV,Bayer 04 Leverkusen,away,62.40,357.35,17,5
1120,VfL Wolfsburg,FC Bayern München,away,143.60,811.85,13,1
1121,FC Schalke 04,TSG 1899 Hoffenheim,home,274.35,212.75,6,8
1122,FC Augsburg,VfB Stuttgart,away,100.45,134.70,7,14
1123,Borussia Mönchengladbach,Borussia Dortmund,away,193.25,574.20,10,3
1124,Eintracht Frankfurt,RasenBallsport Leipzig,home,126.15,373.30,4,2
1125,1.FSV Mainz 05,VfL Wolfsburg,draw,98.35,143.60,16,14
1126,FC Bayern München,Hertha BSC,draw,811.85,131.45,1,11
1127,TSG 1899 Hoffenheim,SC Freiburg,draw,212.75,100.60,9,12
1128,Hannover 96,Borussia Mönchengladbach,away,92.95,193.25,7,10
1129,VfB Stuttgart,Eintracht Frankfurt,home,134.70,126.15,13,3
1130,SV Werder Bremen,Hamburger SV,home,107.15,62.40,15,17
1131,Bayer 04 Leverkusen,FC Schalke 04,away,357.35,274.35,4,6
1132,RasenBallsport Leipzig,1.FC Köln,away,373.30,91.73,5,18
1133,Borussia Dortmund,FC Augsburg,draw,574.20,100.45,2,8
1134,Borussia Mönchengladbach,SV Werder Bremen,draw,193.25,107.15,7,14
1135,FC Schalke 04,Hertha BSC,home,274.35,131.45,3,11
1136,Eintracht Frankfurt,Hannover 96,home,126.15,92.95,4,10
1137,FC Augsburg,TSG 1899 Hoffenheim,away,100.45,212.75,8,9
1138,Hamburger SV,1.FSV Mainz 05,draw,62.40,98.35,17,16
1139,VfL Wolfsburg,Bayer 04 Leverkusen,away,143.60,357.35,15,5
1140,RasenBallsport Leipzig,Borussia Dortmund,draw,373.30,574.20,6,2
1141,1.FC Köln,VfB Stuttgart,away,91.73,134.70,18,12
1142,SC Freiburg,FC Bayern München,away,100.60,811.85,13,1
1143,1.FSV Mainz 05,FC Schalke 04,away,98.35,274.35,16,2
1144,FC Bayern München,Hamburger SV,home,811.85,62.40,1,17
1145,TSG 1899 Hoffenheim,VfL Wolfsburg,home,212.75,143.60,7,15
1146,Hertha BSC,SC Freiburg,draw,131.45,100.60,12,13
1147,Hannover 96,FC Augsburg,away,92.95,100.45,11,10
1148,Bayer 04 Leverkusen,Borussia Mönchengladbach,home,357.35,193.25,5,8
1149,VfB Stuttgart,RasenBallsport Leipzig,draw,134.70,373.30,9,6
1150,Borussia Dortmund,Eintracht Frankfurt,home,574.20,126.15,3,4
1151,SV Werder Bremen,1.FC Köln,home,107.15,91.73,14,18
1152,SC Freiburg,VfB Stuttgart,away,100.60,134.70,14,10
1153,Borussia Mönchengladbach,TSG 1899 Hoffenheim,draw,193.25,212.75,9,7
1154,Eintracht Frankfurt,1.FSV Mainz 05,home,126.15,98.35,5,16
1155,FC Augsburg,SV Werder Bremen,away,100.45,107.15,8,13
1156,Hamburger SV,Hertha BSC,away,62.40,131.45,17,11
1157,VfL Wolfsburg,FC Schalke 04,away,143.60,274.35,15,2
1158,Borussia Dortmund,Hannover 96,home,574.20,92.95,3,12
1159,1.FC Köln,Bayer 04 Leverkusen,home,91.73,357.35,18,4
1160,RasenBallsport Leipzig,FC Bayern München,home,373.30,811.85,6,1
1161,TSG 1899 Hoffenheim,1.FC Köln,home,212.75,91.73,7,17
1162,FC Schalke 04,SC Freiburg,home,274.35,100.60,2,14
1163,Bayer 04 Leverkusen,FC Augsburg,draw,357.35,100.45,5,10
1164,Hannover 96,RasenBallsport Leipzig,away,92.95,373.30,13,6
1165,VfB Stuttgart,Hamburger SV,draw,134.70,62.40,8,18
1166,FC Bayern München,Borussia Dortmund,home,811.85,574.20,1,3
1167,Hertha BSC,VfL Wolfsburg,draw,131.45,143.60,11,15
1168,SV Werder Bremen,Eintracht Frankfurt,home,107.15,126.15,12,4
1169,1.FSV Mainz 05,Borussia Mönchengladbach,draw,98.35,193.25,16,9
1170,Hannover 96,SV Werder Bremen,home,92.95,107.15,13,12
1171,1.FC Köln,1.FSV Mainz 05,draw,91.73,98.35,17,16
1172,SC Freiburg,VfL Wolfsburg,away,100.60,143.60,14,15
1173,Borussia Mönchengladbach,Hertha BSC,home,193.25,131.45,9,11
