,Home_Team,Away_Team,Goals_Home,Goals_Away,Date
1186,VfL Bochum,SV Werder Bremen,0,0,2004-04-24
1187,FC Bayern München,TSV 1860 München,1,0,2004-04-24
1188,SC Freiburg,Hannover 96,4,1,2004-01-05
1189,VfL Wolfsburg,Eintracht Frankfurt,1,0,2004-01-05
1190,1.FC Kaiserslautern,Borussia Mönchengladbach,2,2,2004-01-05
1191,Borussia Dortmund,FC Hansa Rostock,4,1,2004-01-05
1192,TSV 1860 München,Bayer 04 Leverkusen,1,1,2004-01-05
1193,1.FC Köln,FC Bayern München,1,2,2004-01-05
1194,SV Werder Bremen,Hamburger SV,6,0,2004-01-05
1195,FC Schalke 04,Hertha BSC,3,0,2004-01-05
1196,VfB Stuttgart,VfL Bochum,1,1,2004-01-05
1197,1.FC Kaiserslautern,VfL Wolfsburg,3,2,2004-08-05
1198,Hannover 96,Eintracht Frankfurt,3,0,2004-08-05
1199,Hamburger SV,VfB Stuttgart,2,1,2004-08-05
1200,FC Bayern München,SV Werder Bremen,1,3,2004-08-05
1201,Bayer 04 Leverkusen,1.FC Köln,2,0,2004-08-05
1202,Hertha BSC,Borussia Dortmund,6,2,2004-08-05
1203,Borussia Mönchengladbach,FC Schalke 04,2,0,2004-08-05
1204,VfL Bochum,SC Freiburg,3,0,2004-08-05
1205,FC Hansa Rostock,TSV 1860 München,3,0,2004-08-05
1206,Hannover 96,VfL Wolfsburg,0,0,2004-05-15
1207,FC Schalke 04,1.FC Kaiserslautern,4,1,2004-05-15
1208,Borussia Dortmund,Borussia Mönchengladbach,3,1,2004-05-15
1209,TSV 1860 München,Hertha BSC,1,1,2004-05-15
1210,1.FC Köln,FC Hansa Rostock,4,0,2004-05-15
1211,SV Werder Bremen,Bayer 04 Leverkusen,2,6,2004-05-15
1212,VfB Stuttgart,FC Bayern München,3,1,2004-05-15
1213,SC Freiburg,Hamburger SV,0,0,2004-05-15
1214,Eintracht Frankfurt,VfL Bochum,3,2,2004-05-15
1215,VfL Wolfsburg,FC Schalke 04,1,1,2004-05-22
1216,VfL Bochum,Hannover 96,3,1,2004-05-22
1217,Hamburger SV,Eintracht Frankfurt,2,1,2004-05-22
1218,FC Bayern München,SC Freiburg,2,0,2004-05-22
1219,Bayer 04 Leverkusen,VfB Stuttgart,2,0,2004-05-22
1220,FC Hansa Rostock,SV Werder Bremen,3,1,2004-05-22
1221,Hertha BSC,1.FC Köln,3,1,2004-05-22
1222,Borussia Mönchengladbach,TSV 1860 München,3,1,2004-05-22
1223,1.FC Kaiserslautern,Borussia Dortmund,1,1,2004-05-22
1224,SV Werder Bremen,FC Schalke 04,1,0,2004-06-08
1225,1.FC Kaiserslautern,1.FC Nürnberg,1,3,2004-06-08
1226,SC Freiburg,FC Hansa Rostock,0,0,2004-06-08
1227,Borussia Dortmund,VfL Wolfsburg,1,2,2004-06-08
1228,Bayer 04 Leverkusen,Hannover 96,2,1,2004-06-08
1229,Hertha BSC,VfL Bochum,2,2,2004-06-08
1230,Hamburger SV,FC Bayern München,0,2,2004-06-08
1231,Arminia Bielefeld,Borussia Mönchengladbach,0,0,2004-06-08
1232,VfB Stuttgart,1.FSV Mainz 05,4,2,2004-06-08
1233,1.FSV Mainz 05,Hamburger SV,2,1,2004-08-14
1234,FC Bayern München,Hertha BSC,1,1,2004-08-14
1235,Borussia Mönchengladbach,Borussia Dortmund,2,3,2004-08-14
1236,FC Hansa Rostock,SV Werder Bremen,0,4,2004-08-14
1237,FC Schalke 04,1.FC Kaiserslautern,2,1,2004-08-14
1238,1.FC Nürnberg,VfB Stuttgart,1,1,2004-08-14
1239,VfL Bochum,Bayer 04 Leverkusen,2,2,2004-08-14
1240,VfL Wolfsburg,SC Freiburg,0,1,2004-08-14
1241,Hannover 96,Arminia Bielefeld,0,1,2004-08-14
1242,1.FC Kaiserslautern,VfB Stuttgart,2,3,2004-08-28
1243,SC Freiburg,Borussia Mönchengladbach,1,1,2004-08-28
1244,Arminia Bielefeld,VfL Bochum,1,2,2004-08-28
1245,Bayer 04 Leverkusen,FC Bayern München,4,1,2004-08-28
1246,Hertha BSC,1.FSV Mainz 05,1,1,2004-08-28
1247,Hamburger SV,1.FC Nürnberg,4,3,2004-08-28
1248,FC Schalke 04,FC Hansa Rostock,0,2,2004-08-28
1249,Borussia Dortmund,Hannover 96,1,1,2004-08-28
1250,SV Werder Bremen,VfL Wolfsburg,1,2,2004-08-28
1251,1.FSV Mainz 05,Bayer 04 Leverkusen,2,0,2004-11-09
1252,FC Bayern München,Arminia Bielefeld,1,0,2004-11-09
1253,VfL Bochum,Borussia Dortmund,2,2,2004-11-09
1254,Borussia Mönchengladbach,SV Werder Bremen,3,1,2004-11-09
1255,VfL Wolfsburg,FC Schalke 04,3,0,2004-11-09
1256,VfB Stuttgart,Hamburger SV,2,0,2004-11-09
1257,1.FC Nürnberg,Hertha BSC,0,0,2004-11-09
1258,Hannover 96,SC Freiburg,2,2,2004-11-09
1259,FC Hansa Rostock,1.FC Kaiserslautern,2,3,2004-11-09
1260,1.FC Kaiserslautern,Hamburger SV,2,1,2004-09-18
1261,Borussia Dortmund,FC Bayern München,2,2,2004-09-18
1262,Arminia Bielefeld,1.FSV Mainz 05,1,1,2004-09-18
1263,Bayer 04 Leverkusen,1.FC Nürnberg,2,2,2004-09-18
1264,FC Hansa Rostock,VfL Wolfsburg,1,2,2004-09-18
1265,FC Schalke 04,Borussia Mönchengladbach,3,2,2004-09-18
1266,SV Werder Bremen,Hannover 96,3,0,2004-09-18
1267,SC Freiburg,VfL Bochum,1,1,2004-09-18
1268,Hertha BSC,VfB Stuttgart,0,0,2004-09-18
1269,FC Bayern München,SC Freiburg,3,1,2004-09-25
1270,VfL Bochum,SV Werder Bremen,1,4,2004-09-25
1271,Hannover 96,FC Schalke 04,1,0,2004-09-25
1272,Borussia Mönchengladbach,FC Hansa Rostock,2,2,2004-09-25
1273,VfL Wolfsburg,1.FC Kaiserslautern,2,1,2004-09-25
1274,VfB Stuttgart,Bayer 04 Leverkusen,3,0,2004-09-25
1275,1.FC Nürnberg,Arminia Bielefeld,1,2,2004-09-25
1276,1.FSV Mainz 05,Borussia Dortmund,1,1,2004-09-25
1277,Hamburger SV,Hertha BSC,2,1,2004-09-25
1278,1.FC Kaiserslautern,Hertha BSC,0,2,2004-02-10
1279,SC Freiburg,1.FSV Mainz 05,1,2,2004-02-10
1280,Borussia Dortmund,1.FC Nürnberg,2,2,2004-02-10
1281,Bayer 04 Leverkusen,Hamburger SV,3,0,2004-02-10
1282,VfL Wolfsburg,Borussia Mönchengladbach,2,1,2004-02-10
1283,FC Hansa Rostock,Hannover 96,1,3,2004-02-10
1284,SV Werder Bremen,FC Bayern München,1,2,2004-02-10
1285,Arminia Bielefeld,VfB Stuttgart,0,2,2004-02-10
1286,FC Schalke 04,VfL Bochum,3,2,2004-02-10
1287,1.FSV Mainz 05,SV Werder Bremen,2,1,2004-10-16
1288,FC Bayern München,FC Schalke 04,0,1,2004-10-16
1289,VfL Bochum,FC Hansa Rostock,0,1,2004-10-16
1290,Hertha BSC,Bayer 04 Leverkusen,3,1,2004-10-16
1291,Hamburger SV,Arminia Bielefeld,0,2,2004-10-16
1292,VfB Stuttgart,Borussia Dortmund,2,0,2004-10-16
1293,1.FC Nürnberg,SC Freiburg,3,0,2004-10-16
1294,Hannover 96,VfL Wolfsburg,3,0,2004-10-16
1295,Borussia Mönchengladbach,1.FC Kaiserslautern,2,0,2004-10-16
1296,1.FC Kaiserslautern,Bayer 04 Leverkusen,0,0,2004-10-23
1297,Borussia Dortmund,Hamburger SV,0,2,2004-10-23
1298,Arminia Bielefeld,Hertha BSC,1,0,2004-10-23
1299,Borussia Mönchengladbach,Hannover 96,0,2,2004-10-23
1300,VfL Wolfsburg,VfL Bochum,3,0,2004-10-23
1301,FC Hansa Rostock,FC Bayern München,0,2,2004-10-23
1302,SV Werder Bremen,1.FC Nürnberg,4,1,2004-10-23
1303,SC Freiburg,VfB Stuttgart,2,0,2004-10-23
1304,FC Schalke 04,1.FSV Mainz 05,2,1,2004-10-23
1305,FC Bayern München,VfL Wolfsburg,2,0,2004-10-26
1306,VfL Bochum,Borussia Mönchengladbach,3,0,2004-10-26
1307,Hannover 96,1.FC Kaiserslautern,3,1,2004-10-26
1308,Hertha BSC,Borussia Dortmund,0,1,2004-10-26
1309,1.FSV Mainz 05,FC Hansa Rostock,3,1,2004-10-26
1310,Bayer 04 Leverkusen,Arminia Bielefeld,3,2,2004-10-26
1311,Hamburger SV,SC Freiburg,4,0,2004-10-26
1312,VfB Stuttgart,SV Werder Bremen,1,2,2004-10-26
1313,1.FC Nürnberg,FC Schalke 04,0,2,2004-10-26
1314,SC Freiburg,Hertha BSC,1,3,2004-10-30
1315,Borussia Dortmund,Bayer 04 Leverkusen,1,0,2004-10-30
1316,Hannover 96,VfL Bochum,3,0,2004-10-30
1317,Borussia Mönchengladbach,FC Bayern München,2,0,2004-10-30
1318,VfL Wolfsburg,1.FSV Mainz 05,4,3,2004-10-30
1319,FC Schalke 04,VfB Stuttgart,3,2,2004-10-30
1320,SV Werder Bremen,Hamburger SV,1,1,2004-10-30
1321,1.FC Kaiserslautern,Arminia Bielefeld,2,1,2004-10-30
1322,FC Hansa Rostock,1.FC Nürnberg,0,2,2004-10-30
1323,1.FSV Mainz 05,Borussia Mönchengladbach,1,1,2004-06-11
1324,FC Bayern München,Hannover 96,3,0,2004-06-11
1325,VfL Bochum,1.FC Kaiserslautern,1,1,2004-06-11
1326,Arminia Bielefeld,Borussia Dortmund,1,0,2004-06-11
1327,Bayer 04 Leverkusen,SC Freiburg,4,1,2004-06-11
1328,Hertha BSC,SV Werder Bremen,1,1,2004-06-11
1329,1.FC Nürnberg,VfL Wolfsburg,4,0,2004-06-11
1330,Hamburger SV,FC Schalke 04,1,2,2004-06-11
1331,VfB Stuttgart,FC Hansa Rostock,4,0,2004-06-11
1332,1.FC Kaiserslautern,Borussia Dortmund,1,0,2004-11-13
1333,SC Freiburg,Arminia Bielefeld,2,3,2004-11-13
1334,Hannover 96,1.FSV Mainz 05,2,0,2004-11-13
1335,Borussia Mönchengladbach,1.FC Nürnberg,2,1,2004-11-13
1336,VfL Wolfsburg,VfB Stuttgart,3,0,2004-11-13
1337,FC Schalke 04,Hertha BSC,1,3,2004-11-13
1338,SV Werder Bremen,Bayer 04 Leverkusen,2,2,2004-11-13
1339,VfL Bochum,FC Bayern München,1,3,2004-11-13
1340,FC Hansa Rostock,Hamburger SV,0,6,2004-11-13
1341,1.FSV Mainz 05,VfL Bochum,1,0,2004-11-20
1342,FC Bayern München,1.FC Kaiserslautern,3,1,2004-11-20
1343,Borussia Dortmund,SC Freiburg,2,0,2004-11-20
1344,Arminia Bielefeld,SV Werder Bremen,2,1,2004-11-20
1345,Bayer 04 Leverkusen,FC Schalke 04,0,3,2004-11-20
1346,Hertha BSC,FC Hansa Rostock,1,1,2004-11-20
1347,VfB Stuttgart,Borussia Mönchengladbach,1,0,2004-11-20
1348,Hamburger SV,VfL Wolfsburg,3,1,2004-11-20
1349,1.FC Nürnberg,Hannover 96,1,1,2004-11-20
1350,1.FC Kaiserslautern,SC Freiburg,3,0,2004-11-27
1351,FC Bayern München,1.FSV Mainz 05,4,2,2004-11-27
1352,VfL Bochum,1.FC Nürnberg,3,1,2004-11-27
1353,Borussia Mönchengladbach,Hamburger SV,1,3,2004-11-27
1354,VfL Wolfsburg,Hertha BSC,2,3,2004-11-27
1355,FC Hansa Rostock,Bayer 04 Leverkusen,0,2,2004-11-27
1356,SV Werder Bremen,Borussia Dortmund,2,0,2004-11-27
1357,Hannover 96,VfB Stuttgart,0,0,2004-11-27
1358,FC Schalke 04,Arminia Bielefeld,2,1,2004-11-27
1359,SC Freiburg,SV Werder Bremen,0,6,2004-04-12
1360,Arminia Bielefeld,FC Hansa Rostock,1,1,2004-04-12
1361,Bayer 04 Leverkusen,VfL Wolfsburg,2,1,2004-04-12
1362,Hertha BSC,Borussia Mönchengladbach,6,0,2004-04-12
1363,Hamburger SV,Hannover 96,0,2,2004-04-12
1364,VfB Stuttgart,VfL Bochum,5,2,2004-04-12
1365,1.FC Nürnberg,FC Bayern München,2,2,2004-04-12
1366,1.FC Kaiserslautern,1.FSV Mainz 05,2,0,2004-04-12
1367,Borussia Dortmund,FC Schalke 04,0,1,2004-04-12
1368,1.FSV Mainz 05,1.FC Nürnberg,0,1,2004-11-12
1369,FC Bayern München,VfB Stuttgart,2,2,2004-11-12
1370,VfL Bochum,Hamburger SV,1,2,2004-11-12
1371,Hannover 96,Hertha BSC,0,1,2004-11-12
1372,FC Hansa Rostock,Borussia Dortmund,1,1,2004-11-12
1373,FC Schalke 04,SC Freiburg,1,1,2004-11-12
1374,SV Werder Bremen,1.FC Kaiserslautern,1,1,2004-11-12
1375,Borussia Mönchengladbach,Bayer 04 Leverkusen,1,1,2004-11-12
1376,VfL Wolfsburg,Arminia Bielefeld,5,0,2004-11-12
1377,FC Bayern München,Hamburger SV,3,0,2005-01-21
1378,1.FC Nürnberg,1.FC Kaiserslautern,1,3,2005-01-21
1379,FC Hansa Rostock,SC Freiburg,0,0,2005-01-21
1380,VfL Wolfsburg,Borussia Dortmund,1,2,2005-01-21
1381,Borussia Mönchengladbach,Arminia Bielefeld,1,0,2005-01-21
1382,1.FSV Mainz 05,VfB Stuttgart,2,3,2005-01-21
1383,FC Schalke 04,SV Werder Bremen,2,1,2005-01-21
1384,Hannover 96,Bayer 04 Leverkusen,0,3,2005-01-21
1385,VfL Bochum,Hertha BSC,2,2,2005-01-21
1386,Hamburger SV,1.FSV Mainz 05,2,1,2005-01-29
1387,Bayer 04 Leverkusen,VfL Bochum,4,0,2005-01-29
1388,Arminia Bielefeld,Hannover 96,0,1,2005-01-29
1389,Borussia Dortmund,Borussia Mönchengladbach,1,1,2005-01-29
1390,SC Freiburg,VfL Wolfsburg,1,0,2005-01-29
1391,1.FC Kaiserslautern,FC Schalke 04,2,0,2005-01-29
1392,VfB Stuttgart,1.FC Nürnberg,2,4,2005-01-29
1393,Hertha BSC,FC Bayern München,0,0,2005-01-29
1394,SV Werder Bremen,FC Hansa Rostock,3,2,2005-01-29
1395,VfB Stuttgart,1.FC Kaiserslautern,1,1,2005-05-02
1396,Hannover 96,Borussia Dortmund,1,3,2005-05-02
1397,VfL Bochum,Arminia Bielefeld,1,1,2005-05-02
1398,FC Bayern München,Bayer 04 Leverkusen,2,0,2005-05-02
1399,1.FSV Mainz 05,Hertha BSC,0,3,2005-05-02
1400,1.FC Nürnberg,Hamburger SV,1,3,2005-05-02
1401,FC Hansa Rostock,FC Schalke 04,2,2,2005-05-02
1402,Borussia Mönchengladbach,SC Freiburg,3,2,2005-05-02
1403,VfL Wolfsburg,SV Werder Bremen,2,3,2005-05-02
1404,Borussia Dortmund,VfL Bochum,1,0,2005-12-02
1405,SC Freiburg,Hannover 96,0,0,2005-12-02
1406,SV Werder Bremen,Borussia Mönchengladbach,2,0,2005-12-02
1407,FC Schalke 04,VfL Wolfsburg,3,0,2005-12-02
1408,1.FC Kaiserslautern,FC Hansa Rostock,2,1,2005-12-02
1409,Hamburger SV,VfB Stuttgart,2,1,2005-12-02
1410,Hertha BSC,1.FC Nürnberg,2,1,2005-12-02
1411,Bayer 04 Leverkusen,1.FSV Mainz 05,2,0,2005-12-02
1412,Arminia Bielefeld,FC Bayern München,3,1,2005-12-02
1413,Hamburger SV,1.FC Kaiserslautern,2,1,2005-02-19
1414,VfL Bochum,SC Freiburg,3,1,2005-02-19
1415,FC Bayern München,Borussia Dortmund,5,0,2005-02-19
1416,1.FSV Mainz 05,Arminia Bielefeld,0,0,2005-02-19
1417,1.FC Nürnberg,Bayer 04 Leverkusen,2,4,2005-02-19
1418,VfL Wolfsburg,FC Hansa Rostock,4,0,2005-02-19
1419,Hannover 96,SV Werder Bremen,1,4,2005-02-19
1420,VfB Stuttgart,Hertha BSC,1,0,2005-02-19
1421,Borussia Mönchengladbach,FC Schalke 04,1,3,2005-02-19
1422,Borussia Dortmund,1.FSV Mainz 05,3,0,2005-02-26
1423,SC Freiburg,FC Bayern München,0,1,2005-02-26
1424,SV Werder Bremen,VfL Bochum,4,0,2005-02-26
1425,FC Hansa Rostock,Borussia Mönchengladbach,0,0,2005-02-26
1426,1.FC Kaiserslautern,VfL Wolfsburg,0,0,2005-02-26
1427,Hertha BSC,Hamburger SV,4,1,2005-02-26
1428,Arminia Bielefeld,1.FC Nürnberg,3,1,2005-02-26
1429,FC Schalke 04,Hannover 96,1,0,2005-02-26
1430,Bayer 04 Leverkusen,VfB Stuttgart,1,1,2005-02-26
1431,1.FSV Mainz 05,SC Freiburg,5,0,2005-05-03
1432,VfB Stuttgart,Arminia Bielefeld,2,1,2005-05-03
1433,Hamburger SV,Bayer 04 Leverkusen,1,0,2005-05-03
1434,Borussia Mönchengladbach,VfL Wolfsburg,1,0,2005-05-03
1435,Hannover 96,FC Hansa Rostock,0,1,2005-05-03
1436,VfL Bochum,FC Schalke 04,0,2,2005-05-03
1437,FC Bayern München,SV Werder Bremen,1,0,2005-05-03
1438,Hertha BSC,1.FC Kaiserslautern,1,1,2005-05-03
1439,1.FC Nürnberg,Borussia Dortmund,2,2,2005-05-03
1440,SV Werder Bremen,1.FSV Mainz 05,0,0,2005-12-03
1441,FC Hansa Rostock,VfL Bochum,3,1,2005-12-03
1442,VfL Wolfsburg,Hannover 96,1,0,2005-12-03
1443,1.FC Kaiserslautern,Borussia Mönchengladbach,1,0,2005-12-03
1444,Bayer 04 Leverkusen,Hertha BSC,3,3,2005-12-03
1445,Arminia Bielefeld,Hamburger SV,3,4,2005-12-03
1446,SC Freiburg,1.FC Nürnberg,2,3,2005-12-03
1447,FC Schalke 04,FC Bayern München,1,0,2005-12-03
1448,Borussia Dortmund,VfB Stuttgart,0,2,2005-12-03
1449,Bayer 04 Leverkusen,1.FC Kaiserslautern,2,0,2005-03-19
1450,Hamburger SV,Borussia Dortmund,2,3,2005-03-19
1451,Hertha BSC,Arminia Bielefeld,3,0,2005-03-19
1452,Hannover 96,Borussia Mönchengladbach,2,1,2005-03-19
1453,VfL Bochum,VfL Wolfsburg,5,1,2005-03-19
1454,FC Bayern München,FC Hansa Rostock,3,1,2005-03-19
1455,1.FC Nürnberg,SV Werder Bremen,1,2,2005-03-19
1456,VfB Stuttgart,SC Freiburg,1,0,2005-03-19
1457,1.FSV Mainz 05,FC Schalke 04,2,1,2005-03-19
1458,FC Hansa Rostock,1.FSV Mainz 05,2,0,2005-02-04
1459,VfL Wolfsburg,FC Bayern München,0,3,2005-02-04
1460,1.FC Kaiserslautern,Hannover 96,0,2,2005-02-04
1461,Arminia Bielefeld,Bayer 04 Leverkusen,1,0,2005-02-04
1462,SC Freiburg,Hamburger SV,1,1,2005-02-04
1463,SV Werder Bremen,VfB Stuttgart,1,2,2005-02-04
1464,FC Schalke 04,1.FC Nürnberg,4,1,2005-02-04
1465,Borussia Mönchengladbach,VfL Bochum,2,2,2005-02-04
1466,Borussia Dortmund,Hertha BSC,2,1,2005-02-04
1467,Hertha BSC,SC Freiburg,3,1,2005-09-04
1468,Bayer 04 Leverkusen,Borussia Dortmund,0,1,2005-09-04
1469,VfL Bochum,Hannover 96,1,0,2005-09-04
1470,FC Bayern München,Borussia Mönchengladbach,2,1,2005-09-04
1471,1.FSV Mainz 05,VfL Wolfsburg,0,2,2005-09-04
1472,VfB Stuttgart,FC Schalke 04,3,0,2005-09-04
1473,Hamburger SV,SV Werder Bremen,1,2,2005-09-04
1474,Arminia Bielefeld,1.FC Kaiserslautern,0,2,2005-09-04
1475,1.FC Nürnberg,FC Hansa Rostock,3,0,2005-09-04
1476,Borussia Mönchengladbach,1.FSV Mainz 05,1,1,2005-04-16
1477,Hannover 96,FC Bayern München,0,1,2005-04-16
1478,Borussia Dortmund,Arminia Bielefeld,1,1,2005-04-16
1479,SC Freiburg,Bayer 04 Leverkusen,1,3,2005-04-16
1480,SV Werder Bremen,Hertha BSC,0,1,2005-04-16
1481,FC Schalke 04,Hamburger SV,1,2,2005-04-16
1482,FC Hansa Rostock,VfB Stuttgart,2,1,2005-04-16
1483,1.FC Kaiserslautern,VfL Bochum,1,2,2005-04-16
1484,VfL Wolfsburg,1.FC Nürnberg,0,1,2005-04-16
1485,Borussia Dortmund,1.FC Kaiserslautern,4,2,2005-04-23
1486,Arminia Bielefeld,SC Freiburg,3,1,2005-04-23
1487,FC Bayern München,VfL Bochum,3,1,2005-04-23
1488,1.FSV Mainz 05,Hannover 96,2,0,2005-04-23
1489,VfB Stuttgart,VfL Wolfsburg,0,0,2005-04-23
1490,Hamburger SV,FC Hansa Rostock,3,0,2005-04-23
1491,Hertha BSC,FC Schalke 04,4,1,2005-04-23
1492,1.FC Nürnberg,Borussia Mönchengladbach,0,0,2005-04-23
1493,Bayer 04 Leverkusen,SV Werder Bremen,2,1,2005-04-23
1494,VfL Bochum,1.FSV Mainz 05,2,6,2005-04-30
1495,1.FC Kaiserslautern,FC Bayern München,0,4,2005-04-30
1496,SC Freiburg,Borussia Dortmund,2,2,2005-04-30
1497,SV Werder Bremen,Arminia Bielefeld,3,0,2005-04-30
1498,FC Schalke 04,Bayer 04 Leverkusen,3,3,2005-04-30
1499,FC Hansa Rostock,Hertha BSC,2,1,2005-04-30
1500,Borussia Mönchengladbach,VfB Stuttgart,2,0,2005-04-30
1501,VfL Wolfsburg,Hamburger SV,1,0,2005-04-30
1502,Hannover 96,1.FC Nürnberg,1,0,2005-04-30
1503,SC Freiburg,1.FC Kaiserslautern,1,2,2005-07-05
1504,1.FSV Mainz 05,FC Bayern München,2,4,2005-07-05
1505,1.FC Nürnberg,VfL Bochum,2,1,2005-07-05
1506,VfB Stuttgart,Hannover 96,1,0,2005-07-05
1507,Hertha BSC,VfL Wolfsburg,3,1,2005-07-05
1508,Bayer 04 Leverkusen,FC Hansa Rostock,3,0,2005-07-05
1509,Arminia Bielefeld,FC Schalke 04,0,2,2005-07-05
1510,Hamburger SV,Borussia Mönchengladbach,0,0,2005-07-05
1511,Borussia Dortmund,SV Werder Bremen,1,0,2005-07-05
1512,1.FSV Mainz 05,1.FC Kaiserslautern,3,2,2005-05-14
1513,SV Werder Bremen,SC Freiburg,4,1,2005-05-14
1514,FC Schalke 04,Borussia Dortmund,1,2,2005-05-14
1515,FC Hansa Rostock,Arminia Bielefeld,1,1,2005-05-14
1516,VfL Wolfsburg,Bayer 04 Leverkusen,2,2,2005-05-14
1517,Borussia Mönchengladbach,Hertha BSC,0,0,2005-05-14
1518,Hannover 96,Hamburger SV,2,1,2005-05-14
1519,VfL Bochum,VfB Stuttgart,2,0,2005-05-14
1520,FC Bayern München,1.FC Nürnberg,6,3,2005-05-14
1521,1.FC Nürnberg,1.FSV Mainz 05,1,2,2005-05-21
1522,VfB Stuttgart,FC Bayern München,1,3,2005-05-21
1523,Hamburger SV,VfL Bochum,0,1,2005-05-21
1524,Hertha BSC,Hannover 96,0,0,2005-05-21
1525,Bayer 04 Leverkusen,Borussia Mönchengladbach,5,1,2005-05-21
1526,Arminia Bielefeld,VfL Wolfsburg,1,2,2005-05-21
1527,Borussia Dortmund,FC Hansa Rostock,2,1,2005-05-21
1528,SC Freiburg,FC Schalke 04,2,3,2005-05-21
1529,1.FC Kaiserslautern,SV Werder Bremen,1,2,2005-05-21
1530,FC Bayern München,Borussia Mönchengladbach,3,0,2005-05-08
1531,MSV Duisburg,VfB Stuttgart,1,1,2005-05-08
1532,Hamburger SV,1.FC Nürnberg,3,0,2005-05-08
1533,VfL Wolfsburg,Borussia Dortmund,2,2,2005-05-08
1534,SV Werder Bremen,Arminia Bielefeld,5,2,2005-05-08
1535,1.FC Köln,1.FSV Mainz 05,1,0,2005-05-08
1536,Hannover 96,Hertha BSC,2,2,2005-05-08
1537,FC Schalke 04,1.FC Kaiserslautern,2,1,2005-05-08
1538,Eintracht Frankfurt,Bayer 04 Leverkusen,1,4,2005-05-08
1539,Borussia Mönchengladbach,VfL Wolfsburg,1,1,2005-08-13
1540,Borussia Dortmund,FC Schalke 04,1,2,2005-08-13
1541,Hertha BSC,Eintracht Frankfurt,2,0,2005-08-13
1542,1.FC Kaiserslautern,MSV Duisburg,5,3,2005-08-13
1543,1.FC Nürnberg,Hannover 96,1,1,2005-08-13
1544,Arminia Bielefeld,Hamburger SV,0,2,2005-08-13
1545,Bayer 04 Leverkusen,FC Bayern München,2,5,2005-08-13
1546,VfB Stuttgart,1.FC Köln,2,3,2005-08-13
1547,1.FSV Mainz 05,SV Werder Bremen,0,2,2005-08-13
1548,1.FC Köln,1.FC Kaiserslautern,2,3,2005-08-27
1549,FC Schalke 04,Borussia Mönchengladbach,1,1,2005-08-27
1550,Hamburger SV,Hannover 96,1,1,2005-08-27
1551,VfL Wolfsburg,Bayer 04 Leverkusen,2,1,2005-08-27
1552,SV Werder Bremen,VfB Stuttgart,1,1,2005-08-27
1553,FC Bayern München,Hertha BSC,3,0,2005-08-27
1554,Eintracht Frankfurt,1.FC Nürnberg,1,0,2005-08-27
1555,MSV Duisburg,Borussia Dortmund,1,1,2005-08-27
1556,Arminia Bielefeld,1.FSV Mainz 05,2,0,2005-08-27
1557,Bayer 04 Leverkusen,FC Schalke 04,1,1,2005-10-09
1558,Borussia Mönchengladbach,MSV Duisburg,2,1,2005-10-09
1559,1.FC Kaiserslautern,SV Werder Bremen,1,5,2005-10-09
1560,1.FC Nürnberg,FC Bayern München,1,2,2005-10-09
1561,VfB Stuttgart,Arminia Bielefeld,1,1,2005-10-09
1562,1.FSV Mainz 05,Hamburger SV,1,3,2005-10-09
1563,Hannover 96,Eintracht Frankfurt,2,0,2005-10-09
1564,Borussia Dortmund,1.FC Köln,2,1,2005-10-09
1565,Hertha BSC,VfL Wolfsburg,3,0,2005-10-09
1566,1.FC Köln,Borussia Mönchengladbach,2,1,2005-09-17
1567,Hamburger SV,Eintracht Frankfurt,1,1,2005-09-17
1568,VfL Wolfsburg,1.FC Nürnberg,1,1,2005-09-17
1569,SV Werder Bremen,Borussia Dortmund,3,2,2005-09-17
1570,FC Bayern München,Hannover 96,1,0,2005-09-17
1571,1.FSV Mainz 05,VfB Stuttgart,1,2,2005-09-17
1572,Arminia Bielefeld,1.FC Kaiserslautern,0,0,2005-09-17
1573,MSV Duisburg,Bayer 04 Leverkusen,1,3,2005-09-17
1574,FC Schalke 04,Hertha BSC,0,0,2005-09-17
1575,Borussia Mönchengladbach,SV Werder Bremen,2,1,2005-09-20
1576,Borussia Dortmund,Arminia Bielefeld,2,0,2005-09-20
1577,Eintracht Frankfurt,FC Bayern München,0,1,2005-09-20
1578,Hannover 96,VfL Wolfsburg,2,4,2005-09-20
1579,Bayer 04 Leverkusen,1.FC Köln,2,1,2005-09-20
1580,Hertha BSC,MSV Duisburg,3,2,2005-09-20
1581,1.FC Kaiserslautern,1.FSV Mainz 05,0,2,2005-09-20
1582,1.FC Nürnberg,FC Schalke 04,1,1,2005-09-20
1583,VfB Stuttgart,Hamburger SV,1,2,2005-09-20
1584,MSV Duisburg,1.FC Nürnberg,1,0,2005-09-24
1585,FC Schalke 04,Hannover 96,2,0,2005-09-24
1586,Hamburger SV,FC Bayern München,2,0,2005-09-24
1587,VfL Wolfsburg,Eintracht Frankfurt,1,0,2005-09-24
1588,SV Werder Bremen,Bayer 04 Leverkusen,2,1,2005-09-24
1589,1.FSV Mainz 05,Borussia Dortmund,1,1,2005-09-24
1590,Arminia Bielefeld,Borussia Mönchengladbach,0,2,2005-09-24
1591,1.FC Köln,Hertha BSC,0,1,2005-09-24
1592,VfB Stuttgart,1.FC Kaiserslautern,1,0,2005-09-24
1593,Bayer 04 Leverkusen,Arminia Bielefeld,1,1,2005-01-10
